episode title	link
12d-primaut-battu-cosyns.jpg	http://picasaweb.google.com/lh/photo/4EjAZGB0p9YQ46sp3akQyg?feat=directlink
12e-primaut-coince-dans-le-trou.jpg	http://loupmythes.chez.com/loup.piege2.gif
12f-primaut-mort-le-paysan.jpg	http://images.elfwood.com/art/j/e/jeanbart/butt_biting_wolf_reduced.jpg, www1.istockphoto.com/file_thumbview_approve/351735/2/istockphoto_351735_does_your_dog_bite.jpg
12g-morceau-de-fesse.jpg	http://www.telmori.com/picturesOfTheForest.htm
12h-renart-battu.jpg	http://www.lyoba.ch/chasse/images/renard.jpg
12i-primaut-pris-au-piege.jpg	http://picasaweb.google.com/lh/photo/Cn7_whYitDV6d2S9tLhv9A?feat=directlink
13a-la-cour-du-roi-noble.jpg	http://upload.wikimedia.org/wikipedia/commons/c/c2/Roman_de_Renart.jpg
13b-noble-interroge-hersent.jpg	http://picasaweb.google.com/lh/photo/-7C4Ph78Wbk8TRsuIOuSew?feat=directlink
13c-le-chameau-legat-du-pape.jpg	http://picasaweb.google.com/lh/photo/OCjSWQs6M-dKKGBdUk72xQ?feat=directlink
13d-cerf-ours-sanglier.jpg	http://expositions.bnf.fr/bestiaire/grand/e_11.htm, expositions.bnf.fr/bestiaire/grand/b_10.htm
13e-l-ours-brun.jpg	
13f-brun-attaque-par-les-chiens.jpg	http://expositions.bnf.fr/bestiaire/it/images/b4/phe_chap52_2.jpg
13g-brun-accuse.jpg	http://upload.wikimedia.org/wikipedia/commons/8/88/Reineke1752.jpg
13h-baucent-le-sanglier.jpg	http://expositions.bnf.fr/bestiaire/feuilletoirs/tacuinum/01.htm
13i-cointereau-le-singe.jpg	http://www.galerie-com.com/grand_img/0863845001213551925.jpg
13j-brichemer-le-cerf.jpg	http://www.educol.net/cerf-t9757.jpg
13k-noble-ecoute-brichemere.jpg	http://eyealion.perso.sfr.fr/images/modelisation%20personnage/lion-dessin.jpg
13l-roonel-le-chien-dans-la-paille.jpg	http://img.smartpak.com/product/19195_vangogh_haystack.jpg
13m-animaux.jpg	http://www.annuaire-animaux.net/images/image-animaux.jpg
13n-guet-apens-de-roonel.jpg	http://picasaweb.google.com/lh/photo/1DHiOKCYgZ2bw_QcJytZXQ?feat=directlink
13o-brun-mange-du-miel.jpg	http://us.123rf.com/400wm/400/400/deeboldrick/deeboldrick0903/deeboldrick090300072/4503591-bear-exploitation-pot-de-miel-de-manger-comme-les-abeilles-essayer-de-prot-ger-la-ruche-illustration.jpg
13p-brun-attaque.jpg	http://inklingstudio.typepad.com/chronicles/images/2007/12/15/glenk_bear.jpg
13q-tibert-tire-par-la-queue.jpg	http://team-spectacular.com/wp-content/uploads/2009/07/dont_pull_my_tail.JPG
13r-les-paysans-attaquent.jpg	http://www.stanbridges.com.au/shop/medium/ZV8059.jpg
13s-renart-manque-le-serment.jpg	http://i20.servimg.com/u/f20/09/00/97/78/color_10.jpg
13t-les-chiens-attaquent-renart.jpg	http://www.stephane-alsac.com/wp-content/gallery/Venerie/meute75.jpg
13u-ysengrin-mecontent.jpg	http://rpgisland.free.fr/images/blackwolf.jpg
14a-hersent-se-justifie.jpg	http://picasaweb.google.com/lh/photo/q0bDfNKTBv--eT2v39TJ1w?feat=directlink
14b-froment-l-ane.jpg	http://etoile.chateauroux.pagesperso-orange.fr/images/jeu/ane.JPG
14c-enterrement-de-coupee.jpg	http://www.revue-textimage.com/01_en_marge/images/varty/varty_02_detail.jpg
14d-le-lievre-couard.jpg	http://www.maremurex.net/lievre.jpg
14e-brun-va-chercher-renart.jpg	http://picasaweb.google.com/lh/photo/cZbrWypBSRIor9_sDWgCOw?feat=directlink
14f-brun-pris-au-piege.jpg	http://www.revue-textimage.com/01_en_marge/images/varty/varty_03_detail.jpg
14g-tibert-messager-du-roi.jpg	http://storage.canalblog.com/48/30/338039/17749819_p.jpg
14h-grimbert-le-blaireau.jpg	http://www.marcenat.com/images/le-blaireau.jpg
14i-la-confession-de-renart.jpg	http://www.antique-prints.de/shop/Media/Shop/8750.jpg
14j-les-adieux-de-renart.jpg	http://a6.idata.over-blog.com/500x412/1/01/97/74/photos/autre/renard.jpg
14k-renart-et-grimbert-partent-a-la-cour-du-roi.jpg	http://multimedia.fnac.com/multimedia/images_produits/ZoomPE/3/3/6/9782842776633.jpg
14l-renart-condamne-a-la-pendaison.jpg	http://2.bp.blogspot.com/-VvpRR7VdV9A/Tyt_ioXOOnI/AAAAAAAACFE/5PWRwUXo_OE/s1600/corde-pendu.jpg
14m-renart-fait-repentance.jpg	http://www.dbnl.org/tekst/_tie002199801_01/_tie002199801ill50.gif
14n-renart-et-couard.jpg	http://www.ateliermagique.com/uploads/thumbnails/uploads/drawing/030800/030742/le-renard-et-le-lievre_500x500.jpg
14o-la-fuite-de-renart.jpg	http://img.zphoto.fr/data/photo/d9/84/664379.jpg
15a-le-siege-de-maupertuis.jpg	http://expositions.bnf.fr/bestiaire/it/images/b5/fr_1581_008v.jpg
15b-la-capture-de-renart.jpg	http://expositions.bnf.fr/bestiaire/it/images/b5/fr_1580_048.jpg
